WorkerId,SubmitTime,Answer 29,Answer 30,question_number,subject,animacy,number,definiteness,type,image,sentence,response,rt,sentence_id
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",28,dog,animate,singular,definite,target,match,The dog is spotted,1,2391,516
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",25,penguin,animate,plural,indefinite,target,match,Penguins stand on two feet,5,2276,526
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",24,panda,animate,plural,definite,target,mismatch,The pandas are black and white,2,6503,509
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",27,lion,animate,plural,definite,target,match,The lions are standing,1,2423,527
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",26,marble,inanimate,singular,indefinite,target,mismatch,A marble is round,5,2585,517
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",21,rabbit,animate,singular,indefinite,target,match,A rabbit is sitting,1,2431,525
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",20,car,inanimate,plural,definite,target,match,The cars are small,2,9983,506
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",23,guitar,inanimate,singular,definite,target,mismatch,The guitar is made of wood,2,4407,524
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",22,kangaroo,animate,plural,indefinite,target,match,Kangaroos stand on two feet,5,2279,522
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",6,tire,inanimate,plural,definite,target,mismatch,The tires are black,1,1829,512
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",7,lamp,inanimate,singular,indefinite,target,mismatch,A lamp is tall,1,1807,518
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",4,mouse,animate,singular,definite,example,match,,1,2488,
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",5,fence,inanimate,plural,indefinite,target,mismatch,Fences are orange,4,6322,508
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",2,bus,inanimate,singular,indefinite,example,match,,1,4974,
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",3,zebra,animate,singular,definite,example,mismatch,,1,3783,
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",1,sword,inanimate,singular,indefinite,example,mismatch,,4,7528,
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",8,bed,inanimate,singular,definite,target,mismatch,The bed is neat,1,1839,504
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",9,bicycle,inanimate,singular,indefinite,target,match,A bicycle has two wheels,5,4135,511
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",14,shark,animate,singular,indefinite,target,match,A shark has sharp teeth,5,2495,507
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",15,kite,inanimate,plural,definite,target,mismatch,The kites have bright colors,1,3511,519
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",16,pigeon,animate,plural,indefinite,target,mismatch,Pigeons have pink feet,4,3471,510
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",17,pig,animate,singular,definite,target,match,The pig has a snout,2,5472,523
ACNID00UIEL1T,Tue Jan 06 08:24:53 PST 2015,"""English""","""""",10,boat,inanimate,singular,definite,target,match,The boat has a sail,4,3119,515
