WorkerId,SubmitTime,Answer 101,question_number,subject,animacy,number,definiteness,type,full_sentence,response,rt
5CKNA1W5GJF430BTAJ797MI1G4546T,Fri Oct 03 09:39:38 PDT 2014,"""English""",61,piano,inanimate,plural,definite,judgment,The pianos are all out of tune.,1,3672
3MNFBUJ2Z8W048I5IP2AA9IWR193MZ,Fri Oct 03 09:39:38 PDT 2014,"""English""",60,penguin,animate,singular,definite,judgment,The penguin is making me laugh.,1,2858
DHONGF1VFU1D40SAH5ATSBB38603PC,Fri Oct 03 09:39:38 PDT 2014,"""English""",63,pigeon,animate,singular,definite,judgment,The pigeon coos and struts.,1,2735
LHL458XB3G6UW5G84NYM8SRLDP824G,Fri Oct 03 09:39:38 PDT 2014,"""English""",62,computer,inanimate,singular,indefinite,judgment,A computer is needed in today's world.,5,3974
ZAU24FOVRFJI57BWLO5LW0730IVIDY,Fri Oct 03 09:39:38 PDT 2014,"""English""",65,rabbit,animate,plural,definite,judgment,The rabbits are all digging holes in the yard.,1,3631
ZLM3LCPW15JZCUCN2JVR7G24CA3VBM,Fri Oct 03 09:39:38 PDT 2014,"""English""",64,marble,inanimate,plural,indefinite,judgment,Marbles are spilling out of his pockets as he walks.,1,4368
WDI1CT9VIT410RO63ALRTB7ZFMMXY2,Fri Oct 03 09:39:38 PDT 2014,"""English""",67,cat,animate,plural,indefinite,judgment,Cats are circling the fishtank.,1,3864
INM73YM4GFY61HG1GS62P1X4K7C6JX,Fri Oct 03 09:39:38 PDT 2014,"""English""",66,bed,inanimate,singular,definite,judgment,The bed is unmade.,1,2990
MBYJRE8IYNX1T5DYR3E0PAEHPIUGMJ,Fri Oct 03 09:39:38 PDT 2014,"""English""",69,peacock,animate,plural,definite,judgment,The peacocks are showing off.,1,2480
W3A02HDVXNZCJ1ZME0XI28IIPWC1DV,Fri Oct 03 09:39:38 PDT 2014,"""English""",68,dog,animate,singular,indefinite,judgment,A dog is sleeping on the porch.,1,2619
A4UGZ9QD7S7CWSF31O825DR62YVH7L,Fri Oct 03 09:39:38 PDT 2014,"""English""",72,guitar,inanimate,singular,definite,judgment,The guitar is out of tune.,1,2981
7NXOBX1NWXCCCY9B2VCSOUZI7JYVJY,Fri Oct 03 09:39:38 PDT 2014,"""English""",73,knife,inanimate,plural,definite,judgment,The knives are all dull.,1,3455
NZEYLZC8U1NUNUC5IP2TOJBZ7VLAOT,Fri Oct 03 09:39:38 PDT 2014,"""English""",70,lion,animate,plural,indefinite,judgment,Lions are hungry.,1,2746
92G1643G3HNBRGOQ93HMF4DPBTCIBM,Fri Oct 03 09:39:38 PDT 2014,"""English""",71,elephant,animate,singular,indefinite,judgment,An elephant is making noise outside.,1,4584
5YCLU85VWM9GRG9VDW7TBPFKFCC3OC,Fri Oct 03 09:39:38 PDT 2014,"""English""",76,turtle,animate,singular,indefinite,judgment,A turtle moves slowly.,1,2357
MHAECAUOGB6CIMMBFK09G09HMCYPKJ,Fri Oct 03 09:39:38 PDT 2014,"""English""",77,pig,animate,plural,indefinite,judgment,Pigs are noisy,5,2857
5W0H2N7JF02SXCG3FZ04C90X7BRACL,Fri Oct 03 09:39:38 PDT 2014,"""English""",74,clock,inanimate,plural,indefinite,judgment,Clocks are ticking in the background.,1,3078
4N4E64SS74ZRMN645T2NW99J7T52X0,Fri Oct 03 09:39:38 PDT 2014,"""English""",75,dolphin,animate,singular,definite,judgment,The dolphin makes a crazy sound.,1,2958
PLHUXZKMADPEU16GDPGJYA2L1L5EVB,Fri Oct 03 09:39:38 PDT 2014,"""English""",78,football,inanimate,singular,indefinite,judgment,A football was tossed at me.,1,2709
8S3SWA18009C81S7THIQHGIJL9ROVE,Fri Oct 03 09:39:38 PDT 2014,"""English""",79,fox,animate,plural,definite,judgment,The foxes are hiding from the hunters.,2,4295
N0O1OH44ZSI8HB6U3TUPRDIHFY36D5,Fri Oct 03 09:39:38 PDT 2014,"""English""",47,zipper,inanimate,singular,definite,target,"The zipper is open, what is he doing?","is open, what is he doing?",8658
NQZVUR7TCTKVC7HGNYKXC8X881CLFP,Fri Oct 03 09:39:38 PDT 2014,"""English""",46,football,inanimate,singular,indefinite,target,A football was tossed at me.,was tossed at me.,6698
TL8V5E5BQ683UK02CZ3SC1PIY40B6E,Fri Oct 03 09:39:38 PDT 2014,"""English""",45,lamp,inanimate,plural,definite,target,The lamps are all on.,are all on.,8483
KP11GII24BJR19XMP8VDT0VLX7T95Y,Fri Oct 03 09:39:38 PDT 2014,"""English""",44,cow,animate,plural,indefinite,target,Cows are chewing their cud content to be alone.,are chewing their cud content to be alone.,16926
800JZPJ1H8AKISZVD4W7M9GZ8EWEYM,Fri Oct 03 09:39:38 PDT 2014,"""English""",43,dolphin,animate,singular,definite,target,The dolphin makes a crazy sound.,makes a crazy sound.,11239
N5JKEGS4NNMNK1KOXM6JEEF0W0MD6K,Fri Oct 03 09:39:38 PDT 2014,"""English""",42,car,inanimate,singular,indefinite,target,A car drives by honking as the guy waves.,drives by honking as the guy waves.,11463
4DBDWDJFCL5DXKL4TKL5780O41B5DS,Fri Oct 03 09:39:38 PDT 2014,"""English""",41,rabbit,animate,plural,definite,target,The rabbits are all digging holes in the yard.,are all digging holes in the yard.,9278
7HWAP3V3SMPWAEXQLE926JPVBK2GKP,Fri Oct 03 09:39:38 PDT 2014,"""English""",40,trumpet,inanimate,singular,definite,target,The trumpet is the best instrument to play.,is the best instrument to play.,12964
1NSJ1C4T2V2ZO31811B0A508U3DY7Z,Fri Oct 03 09:39:38 PDT 2014,"""English""",49,bear,animate,singular,definite,target,The bear is moving closer to us.,is moving closer to us.,7682
NPL0BE9YCGOKFZSASGOUJE34SNSX0Z,Fri Oct 03 09:39:38 PDT 2014,"""English""",48,lion,animate,plural,indefinite,target,Lions are hungry.,are hungry.,19055
RON54DBMNTN296FPUL5BG8WZXYX2RX,Fri Oct 03 09:39:38 PDT 2014,"""English""",58,towel,inanimate,plural,indefinite,judgment,Towels are useful after showering.,5,3408
ZE98XW9FKUIPF9QMPSRZ9E6ZOD90F1,Fri Oct 03 09:39:38 PDT 2014,"""English""",59,owl,animate,plural,definite,judgment,The owls are all hooting.,1,3517
9N9HNSI74BHJ6KBI90DBJU63X32SS7,Fri Oct 03 09:39:38 PDT 2014,"""English""",50,clock,inanimate,plural,indefinite,target,Clocks are ticking in the background.,are ticking in the background.,8935
MOAGU0J8QGQFR44VYV38TBBHJSY0JY,Fri Oct 03 09:39:38 PDT 2014,"""English""",51,panda,animate,plural,definite,target,The pandas are cute but dumb.,are cute but dumb.,12091
WJAQ17DB75J8RKU9T04OGQ4FWMLMAE,Fri Oct 03 09:39:38 PDT 2014,"""English""",52,dog,animate,singular,indefinite,target,A dog is sleeping on the porch.,is sleeping on the porch.,11366
VVZNPGVEIOAI0E0N3HKTCYEME0BJCV,Fri Oct 03 09:39:38 PDT 2014,"""English""",53,skunk,animate,singular,indefinite,judgment,A skunk was under the house.,1,6241
1EG2IWT6ND6OB3ULYBIOIT5VXSM3E6,Fri Oct 03 09:39:38 PDT 2014,"""English""",54,tire,inanimate,singular,definite,judgment,The tire is flat.,1,2864
UQSOU4YCQOY4RHP5U5LKJ811WRDY97,Fri Oct 03 09:39:38 PDT 2014,"""English""",55,kite,inanimate,plural,indefinite,judgment,Kites are flying in the wind.,1,8284
JW99Z4FJO8PC179DX9SS7J425Q5BZN,Fri Oct 03 09:39:38 PDT 2014,"""English""",56,squirrel,animate,plural,definite,judgment,The squirrels are hiding the nuts.,1,7286
FWZET8N5UIAZXW76YYKRCM9LV22IM0,Fri Oct 03 09:39:38 PDT 2014,"""English""",57,chair,inanimate,singular,indefinite,judgment,A chair is overturned in the kitchen,1,3124
