WorkerId,SubmitTime,language,feedback,question_number,subject,animacy,number,definiteness,type,sentence,response,rt,sentence_id
129XSO4BX2ZCHR0M8DZ20ZUPBLSANX,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",61,couch,inanimate,plural,indefinite,target,"Couches are nice, but sofas are better.",1,2260,628
7AW24SC3SNJPKJSKXZ1G5BPT5T16JR,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",60,light bulb,inanimate,plural,definite,target,The light bulbs were very expensive.,1,2039,1026
6OAV618JMWE478F1E91D90G4BKBEAH,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",63,light bulb,inanimate,singular,indefinite,target,A light bulb exploded somewhere.,1,1907,73
45R15RVDURISUP43UIK3LTFMZHR53U,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",62,cat,animate,singular,indefinite,target,A cat hunted the mouse with true dedication.,1,3614,205
OO7M7IKER75QW0YSOXJTVXE3HX9C2S,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",65,skunk,animate,singular,definite,target,The skunk sprayed.,1,1657,133
THHTDNHJQCKUIIG7E1IO4ZX9K611P9,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",64,cheetah,animate,plural,definite,target,The cheetahs ran after the gazelle,1,2741,404
WB5SYZJERPJVIATRVZ34FP75ILAEA8,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",67,dog,animate,singular,indefinite,target,A dog barks at the mailman.,1,1895,92
EX7RO9C8WD6OTDJCDFX0IJYFOP3KS9,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",66,fox,animate,plural,definite,target,The foxes ran for their lives as the hounds fast approached.,1,3040,392
GJ0ESY84U5O64Z1FGIS3MMV1BVLV2I,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",69,owl,animate,plural,definite,target,The owls hunt at night.,5,2518,119
G4756KQDMJ85837HS8U1NCBA6L538B,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",68,marble,inanimate,singular,indefinite,target,A marble floor is exquisite.,3,2957,679
J9FVXC6ETJL57MNWLAM9R8JJQJPVYR,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",72,pigeon,animate,singular,definite,target,The pigeon sat on the telephone pole.,1,2260,742
VVN27QHSUMY79LBPMAIVDD2Y8FX8YL,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",73,bed,inanimate,singular,indefinite,target,A bed was made.,1,2308,422
2IN0Q1IJ7AK064EYLBLTTQHV2G4YAB,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",70,camel,animate,singular,indefinite,target,A camel is not thirsty.,1,2225,113
H5OC390FLM8MLI0RBYJCDZ5V6Q9S2K,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",71,rabbit,animate,singular,definite,target,The rabbit ate the carrot.,1,1498,83
SWFJHULJVS77X77XRSW88283US4OV6,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",76,cow,animate,plural,indefinite,target,Cows produce milk.,5,2932,359
00VBLJVPDDY8REOBG6DZSD5QCGEBDM,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",77,peacock,animate,plural,definite,target,The peacocks look beautiful.,5,2024,575
BVBZAC63UC1HWUHAZK5VF2NV301BEQ,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",74,kangaroo,animate,plural,definite,target,The kangaroos jump a lot,5,2222,855
AVDVBQ3XOGOOVM9ORXLQ2UKWCFW5LR,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",75,boat,inanimate,singular,indefinite,target,A boat is sinking.,1,1682,838
AH84SDVLA4EYDD3WIG3PSP8P4WJOAQ,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",78,butterfly,animate,singular,indefinite,target,A butterfly is beautiful.,5,1821,1004
VHV0CK3XYB18LVEB9U5M3XNVKEXKH1,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",79,lion,animate,plural,indefinite,target,Lions proweled the lands.,1,2269,71
4ARIMJ05U2PTPHVH0ZFUVE5X5F9GJP,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",47,owl,animate,plural,definite,target,The owls hoot at night,1,1860,430
4GDU85BEOHC8412N0Q9DB3QPFQ15TV,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",46,football,inanimate,plural,definite,target,The footballs were kept on the sideline.,1,1869,174
X85CZV3IMK3WL1971P6RGJBZBGY6RR,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",45,kite,inanimate,singular,indefinite,target,A kite flys high and tangles in tree,1,2248,65
YRGWIC26CM5A9WQZ53DAWG6ETKCAXR,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",44,towel,inanimate,singular,indefinite,target,A towel is hanging up next to the shower.,1,2400,498
245IWZPGQ291U6BN1GW2LSZ5IPNTXQ,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",43,shirt,inanimate,plural,definite,target,The shirts were hanging on the line.,1,1824,755
S7TNVL1P5DCD5N278CL60K26EVWONZ,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",42,shark,animate,plural,definite,target,The sharks  stayed away from the dolphins,1,1948,215
1YBS3NRJJASP8QYQE95PE6X6KBYKV5,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",41,boat,inanimate,singular,indefinite,target,A boat is a form of water transportation.,5,2910,1066
RSGJKMFI1WOFDJ5GT3QQCQ2IEZ9IXG,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",40,boat,inanimate,plural,indefinite,target,Boats were anchored in the harbor.,1,1704,40
3VDX8HDG1P65F0FGOEL9EYBXFWZ775,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",49,fox,animate,plural,definite,target,The foxes ran as fast as they could and escaped.,1,2748,826
VHL67G5RUI5VCORQ8L8S3R9BC86RAD,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",48,car,inanimate,plural,indefinite,target,Cars are very fast,5,1568,256
SMN87T19UEGXVDB5ANMTL5XWZ7NU9Y,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",58,cow,animate,plural,definite,target,The cows provide milk and meat.,5,1992,125
GTPSXXSI19STMP47TD64EZUYS6EFRP,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",59,peacock,animate,plural,indefinite,target,Peacocks are pretty.,1,2319,465
23M31N8K29SK0VNLBBWG61K59TGHKK,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",50,knife,inanimate,plural,indefinite,target,Knives are sharp. ,5,1564,1068
G2150R7GRJIO935XMZTC9YAY0K0ZN1,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",51,football,inanimate,singular,indefinite,target,A football is fun to play with.,5,2550,601
MEESTAH9TFEOPS8R4YF479DNHLWJS4,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",52,car,inanimate,plural,indefinite,target,Cars are fun to drive.,5,1393,950
VPC1L8PS2V8QV12M41KOMJVIQMF1FK,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",53,bear,animate,plural,definite,target,The bears were in the park,1,1739,447
KAGRCRBFD5BHAP4O69VEUXI6AMYN00,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",54,shark,animate,plural,definite,target,The sharks swam frantically.,1,1541,603
8GPEVV42IZ5U8DJ1AOJ0VV1GT7A6CP,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",55,television,inanimate,plural,indefinite,target,Televisions showed max headroom,1,1777,413
I8H2Y1JS30FS5UEM35ZVKJR59ICLI1,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",56,couch,inanimate,singular,definite,target,The couch is very comfortable.,5,1821,118
NFVDSI1BUOA8KJ4MQPKE6CI9FIFOGC,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",57,cheetah,animate,singular,definite,target,The cheetah ran very fast.,1,1880,1023
G629HC6RK94UU5W8QL8UF3SUHJN6IO,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",29,zipper,inanimate,singular,indefinite,target,A zipper can get stuck when it is pulled too hard.,5,2723,356
ZXKPWG2UGM12QIOD1UJXGY663703YU,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",28,bed,inanimate,singular,indefinite,target,A bed gives rest.,5,2553,762
2BT1HUIFBUGLHS1KU98F8YDJL1C2ER,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",25,bear,animate,singular,indefinite,target,A bear can be very curious.,5,2757,620
CM81KU2N0HE88ZP1UJBFQY4MZ9A7CS,Tue Jan 13 11:55:49 PST 2015,"""english""","""none""",24,gorilla,animate,singular,definite,target,The gorilla is large and black.,5,2193,517
