WorkerId,SubmitTime,Answer 21,Answer 22,question_number,subject,animacy,number,definiteness,type,image,sentence,response,rt
VP11P10WHZ2G4WEEP653CTJZQ409PG,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",20,dolphin,animate,singular,definite,target,match,The dolphin can swim.,2,6061
JUFED3AY93D29TOS3L0ZN148D4ZHN8,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",6,knife,inanimate,singular,indefinite,target,mismatch,A knife is sharp.,5,4404
Z3FRPB2Z76SHJ75JUT11V1ZC1HWP0Y,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",7,owl,animate,singular,definite,target,mismatch,The owl hoots at night.,1,5232
9F7BJ0X6EXQY8Q94XFF00FX8N19H78,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",4,zebra,animate,singular,definite,example,match,The zebra is not extinct.,5,5980
TK8UA7U8HXP6861E2H57PXCESSA85L,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",5,lion,animate,plural,indefinite,target,match,Lions proweled the lands.,5,7375
ZRXYMGH6EV03RQHURICFISTTTBM8L6,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",2,sword,inanimate,plural,indefinite,example,match,Swords are weapons.,5,13694
67CDWAEFTROB7XVFVI74JYJB3EPGFJ,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",3,mouse,animate,singular,indefinite,example,match,A mouse lives in my house.,1,7050
K7SG7PAX5M5MXM0BDHVAD027A1L42K,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",1,bus,inanimate,plural,definite,example,match,The buses were blocking traffic.,2,17563
2LYMA5RFTU9AKXC37RBW24NAZO3T9X,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",8,kangaroo,animate,plural,definite,target,mismatch,The kangaroos jump a lot,5,3807
5P9BRYE94GA7JCD3XVZX56IQAAVA6X,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",9,gorilla,animate,plural,indefinite,target,mismatch,Gorillas swing in trees.,5,3680
N6QCO22UG5QRS1M0W7JT68AA4IW1Q5,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",14,bear,animate,plural,definite,target,match,The bears hibernated for the winter.,2,5429
LVHBJ2DN78ZDARXEOAB83F902QW1GW,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",15,piano,inanimate,singular,definite,target,match,The piano sounds beautiful.,2,4470
0CPUTQ62JC1TCRPWJBFMX7GRAOUE0G,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",16,car,inanimate,plural,indefinite,target,match,Cars moved noisily in the night.,4,8919
4BYSV3JJ1VDMECWYRJ7HVQBBPSF1JM,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",17,panda,animate,plural,definite,target,match,The pandas are fun to watch.,2,7421
CGOVNZ45IA2OPP0QKMFR6ADBAHA2AH,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",10,zipper,inanimate,singular,indefinite,target,mismatch,A zipper closes the jacket.,5,4435
SFW0Q2FDNTRLZPL74H27S4AMGTZN6I,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",11,turtle,animate,singular,definite,target,mismatch,The turtle swims in the ocean.,5,4660
GPW92DMQHXH46O2JDCSWPVXOTOIHKG,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",12,skunk,animate,plural,definite,target,mismatch,The skunks sometimes stink,4,9414
M3B1PADUTKI097XJFL3EEKLB5UE0DK,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",13,pigeon,animate,singular,indefinite,target,match,A pigeon lives in the city,2,4974
XHIMI5Y43GDS8KLQWZ82UYV5J3GK9F,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",18,cow,animate,singular,indefinite,target,match,A cow chews its cud.,5,5253
FLF6FGQ9DEHFA8QOTM1FA6SEWVPBM7,Mon Jan 19 15:46:10 PST 2015,"""English""","""Thank You""",19,towel,inanimate,plural,indefinite,target,mismatch,Towels are clean.,5,4284
TYDH2D2N6R283MUY0EV5G5EU9WUU3N,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",20,cheetah,animate,plural,definite,target,mismatch,The cheetahs enjoy the kill,2,8124
2Z93FTX35JOPONW8UPE59BCE9SV62J,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",6,cow,animate,singular,definite,target,match,The cow eats grass.,2,5599
C2FGSI1GDHJZB9TQ7DR84BRD0AYRKZ,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",7,dog,animate,singular,indefinite,target,match,A dog likes to eat a bone.,5,6657
FOGL65F2QCPVCXTKDPL153XP5VA6Q9,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",4,sword,inanimate,plural,indefinite,example,match,Swords are weapons.,4,15180
37SG3RQFP9F7XU6UB8OG8B2W2FZF1X,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",5,knife,inanimate,plural,definite,target,mismatch,The knives are very sharp.,1,10499
73K6I27IMI6IHAILJCJEYGSUQEX379,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",2,zebra,animate,singular,definite,example,match,The zebra is not extinct.,5,10947
CJ2DYUTPXPK38AO9F15CC5DWZM7RK1,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",3,mouse,animate,singular,indefinite,example,match,A mouse lives in my house.,1,9667
L0MACYLQBMQIVE203X9JXOFT276RBD,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",1,bus,inanimate,plural,definite,example,match,The buses were blocking traffic.,4,12546
8234JGMK75VF8BTAP4M6EBXWEUV75H,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",8,kite,inanimate,plural,indefinite,target,mismatch,Kites Soared above,1,6757
9VHX5AA5K6LQPXNVYHP372CO6ACLU7,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",9,pig,animate,singular,definite,target,match,The pig sleeps in the mud.,1,7331
CM0DDPGFLGI5NCO67QGTSCD9BS68WV,Mon Jan 19 15:46:53 PST 2015,"""English""","""N/A""",14,shirt,inanimate,singular,indefinite,target,match,A shirt needs to be ironed. ,4,5467
