WorkerId,SubmitTime,Answer 101,question_number,subject,animacy,number,definiteness,type,image,full_sentence,response,rt
0PF96KFHQUVGY8OBSCM64ROW3N22FN,Tue Nov 04 07:25:40 PST 2014,"""english""",61,bicycle,inanimate,singular,indefinite,judgment,mismatch,A bicycle is for riding,2,18924
UUHJG3761MDS7QOMWUTOVDSI61GC8G,Tue Nov 04 07:25:40 PST 2014,"""english""",60,rabbit,animate,plural,indefinite,judgment,match,Rabbits eat lettuce,2,1824
41INK9OSDC89XQTL4IOJ0GR2DVKTZH,Tue Nov 04 07:25:40 PST 2014,"""english""",63,pigeon,animate,plural,definite,judgment,mismatch,The pigeons are ugly,3,1851
ODLSBB62ZLC8UAHDZPY7LXDDXH8O75,Tue Nov 04 07:25:40 PST 2014,"""english""",62,lion,animate,singular,definite,judgment,match,The lion is brave,4,3166
R8LWJGME1EW6TUKQBKSRRQVZY52IF8,Tue Nov 04 07:25:40 PST 2014,"""english""",65,kangaroo,animate,singular,indefinite,judgment,match,A kangaroo is funny looking,2,1835
PG18HWIU60PTU3YYDGBYK1AR3J1KQM,Tue Nov 04 07:25:40 PST 2014,"""english""",64,penguin,animate,plural,indefinite,judgment,match,Penguins are cute,5,2531
B96TTXRY68NSQOIH2S41XDXNT5VGAE,Tue Nov 04 07:25:40 PST 2014,"""english""",67,pig,animate,plural,indefinite,judgment,mismatch,Pigs are not food,2,1765
YQTKM2UUE3YB6BV9XX1LS9BWOD3KSD,Tue Nov 04 07:25:40 PST 2014,"""english""",66,light bulb,inanimate,singular,definite,judgment,mismatch,The light bulb is dead,5,2295
C6VYROQTFPR2FEKJ436RHZJSP91L01,Tue Nov 04 07:25:40 PST 2014,"""english""",69,dog,animate,singular,indefinite,judgment,mismatch,A dog is a friend,2,1438
22WU6J9SZ9D27NXAIBHSSH3CJX3CL0,Tue Nov 04 07:25:40 PST 2014,"""english""",68,chair,inanimate,plural,definite,judgment,mismatch,The chairs are ugly,4,1289
HLVHNB0XK3OUMU64KIMWKEW31PVEAY,Tue Nov 04 07:25:40 PST 2014,"""english""",72,boat,inanimate,singular,definite,judgment,match,The boat is for sailing,3,2710
QBK7FR4VX5WB59O24NSWTK46005YMG,Tue Nov 04 07:25:40 PST 2014,"""english""",73,elephant,animate,plural,definite,judgment,match,The elephants are in decline,3,5383
2E4HJRF7UEFUCTVQEJ6AJY1Z9DCF2Q,Tue Nov 04 07:25:40 PST 2014,"""english""",70,computer,inanimate,plural,definite,judgment,match,The computers are tools,2,4285
HUOMV4QUBU06PD3TJCHFEB11PCIU5P,Tue Nov 04 07:25:40 PST 2014,"""english""",71,towel,inanimate,plural,indefinite,judgment,mismatch,Towels are clean,1,3144
8FCABSN3G0ZE9VRDW6C4A27VWA5NLR,Tue Nov 04 07:25:40 PST 2014,"""english""",76,fence,inanimate,singular,definite,judgment,match,The fence is pretty,2,3097
DCIH8CEWSWGRD54MHZ3NMWB9ED1VR7,Tue Nov 04 07:25:40 PST 2014,"""english""",77,cheetah,animate,plural,indefinite,judgment,mismatch,Cheetahs are very fast,4,6373
ZNXSCS9GJH0A4VLUPYRUXMZYESRK0J,Tue Nov 04 07:25:40 PST 2014,"""english""",74,shirt,inanimate,plural,indefinite,judgment,mismatch,Shirts are clean,4,1834
NA2D2B4WKRWKWYFB165WIXZM6CEX9M,Tue Nov 04 07:25:40 PST 2014,"""english""",75,television,inanimate,singular,indefinite,judgment,mismatch,A television is for watching,2,1696
KXHOO3Y5IR6MCICET6LFS420I4FEHL,Tue Nov 04 07:25:40 PST 2014,"""english""",78,tire,inanimate,plural,definite,judgment,match,The tires are important,2,1903
YTHXT4BKBH6B0NQ4SWAXZ2H3MFGJ6H,Tue Nov 04 07:25:40 PST 2014,"""english""",79,toilet,inanimate,singular,indefinite,judgment,match,A toilet is dirty,3,1890
E4O8RYXMMOS2UHKYL9M6EVO5OLH8QP,Tue Nov 04 07:25:40 PST 2014,"""english""",47,butterfly,animate,plural,definite,target,mismatch,The butterflies are pollinators,are pollinators,3796
ON0VKY9EHLS5MPQXEUHQ17XB5TUTFK,Tue Nov 04 07:25:40 PST 2014,"""english""",46,lion,animate,singular,definite,target,match,The lion is brave,is brave,4945
8TADB9134GME91EU3X43YZL9TO12NY,Tue Nov 04 07:25:40 PST 2014,"""english""",45,shirt,inanimate,plural,indefinite,target,mismatch,Shirts are clean,are clean,2988
9F1UA1AFDUCDY2OQR51CLRV88IGBT8,Tue Nov 04 07:25:40 PST 2014,"""english""",44,fox,animate,singular,definite,target,match,The fox is a hunter,is a hunter,4560
60EEDK6VVPXWMK8QEUEM3BMGF37LXP,Tue Nov 04 07:25:40 PST 2014,"""english""",43,pig,animate,plural,indefinite,target,mismatch,Pigs are not food,are not food,4678
DNAAPTVD2KKC9AGW0VGXHTJKVWD0LU,Tue Nov 04 07:25:40 PST 2014,"""english""",42,zipper,inanimate,singular,indefinite,target,match,A zipper is broken,is broken,2342
OTYYJM7C8RPCDS1VE5Q0G1H0V7AW6Y,Tue Nov 04 07:25:40 PST 2014,"""english""",41,owl,animate,plural,definite,target,mismatch,The owls are fierce,are fierce,4998
OX4VEBNFAGUIWIF3B83HW7E9IFVLVV,Tue Nov 04 07:25:40 PST 2014,"""english""",40,piano,inanimate,singular,definite,target,mismatch,The piano is for playing,is for playing,3171
