WorkerId,SubmitTime,Answer 55,Answer 56,animacy,number,definiteness,subject,sentence,sentence_id,response,rt,question_number,type
L9VJ6COE4RK9IJDM3U46OI6Z8F1VWD,Wed May 20 10:25:09 PDT 2015,"""English""","""""",inanimate,plural,indefinite,car,Cars are a form of transportation.,565,1,2234,53,target
D5QMVRXMOD6PN98Z3IWREB8RJG61YO,Wed May 20 10:25:09 PDT 2015,"""English""","""""",inanimate,singular,definite,football,The football flies through the air,4215,2,3536,54,target
SFQPVSHXDH3Q45THZEBXESSVUNLH6O,Wed May 20 10:25:09 PDT 2015,"""English""","""""",inanimate,plural,indefinite,trumpet,Trumpets played the mournful tune.,2285,2,2917,50,target
4B2SFEQWX4FB43FWAK85JYYZC0G5ZH,Wed May 20 10:25:09 PDT 2015,"""English""","""""",inanimate,plural,indefinite,boat,Boats are floating in the lake,1051,2,3431,33,target
4I0ENGN9HAZ9RVU9X6W1JCSIGKHCEV,Wed May 20 10:25:09 PDT 2015,"""English""","""""",animate,plural,indefinite,owl,Owls have large eyes,1421,1,4335,39,target
YWMHX8YZ0ZTH39MV51HB4NWEPOL1NS,Wed May 20 10:25:09 PDT 2015,"""English""","""""",animate,singular,definite,cat,The cat runs from the dog.,3069,2,2497,29,target
UDI38W5MHQL1WSV261UEBIX9XCOJ9H,Wed May 20 10:25:09 PDT 2015,"""English""","""""",animate,plural,definite,bear,The bears at the zoo seem playful.,2474,2,3318,28,target
FA1I55AV8NQ48VJXIJHLP73N58DDKM,Wed May 20 10:25:09 PDT 2015,"""English""","""""",inanimate,singular,definite,trumpet,The trumpet was missing a mouthpiece.,930,2,3397,25,target
WKJHMWQAVCTDV6DEEOQWHMZDJDKNJZ,Wed May 20 10:25:09 PDT 2015,"""English""","""""",animate,singular,indefinite,camel,A camel moved slowly across the desert.,1182,2,5785,24,target
VNISIIK5HLDZPGJZR2O6T5XANO4080,Wed May 20 10:25:09 PDT 2015,"""English""","""""",inanimate,singular,indefinite,marble,A marble is a fun toy to give at christmas.,1540,1,4048,27,target
28H05E7PYMM62JN0IUI8SV2BXGL1XK,Wed May 20 10:25:09 PDT 2015,"""English""","""""",inanimate,singular,indefinite,boat,A boat is fun!,1025,1,4204,26,target
5M706GPVHR8EVXODPLRGFQBEC54I0T,Wed May 20 10:25:09 PDT 2015,"""English""","""""",animate,singular,definite,skunk,The skunk sprayed the car.,2082,2,2682,21,target
TQXGSXSO2SLJELP2DLN6FE0XHCSJ66,Wed May 20 10:25:09 PDT 2015,"""English""","""""",animate,singular,indefinite,pig,A pig squealed happily as he rolled in the mud.,1752,2,5400,20,target
7QYAP9BNAQQT6YZODKC6WGFNAY6ZY2,Wed May 20 10:25:09 PDT 2015,"""English""","""""",inanimate,plural,definite,tire,The tires screeched loudly.,644,2,4430,23,target
