WorkerId,SubmitTime,Answer 41,animacy,number,definiteness,tense,qud,context,subject,sentence,naturalness,rt,question_number,type
YGH49CUIEE2A34QWAWUIQJ7YC1WVQR,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,definite,progressive,,bare,piano,The pianos are playing music.,4,1167,20,target
ZD39NNADSSTZY7K41IHYQF829PT3NO,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,definite,present,Tell me what's happening.,specific,dog,The dog gnaws on bones.,5,791,23,target
8FSUJU9GL0K88BIP3WU00613HMITWD,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,definite,progressive,Tell me about kites.,generic,kite,The kite is floating in the breeze.,5,1111,22,target
NK89H12RLOUNT5F8B13JWJTILG2S1X,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,indefinite,past,Tell me about ATMs.,generic,ATM,ATMs dispensed money.,5,1151,40,target
MMPITNFCBEM3O75TVN457DJK5M74FI,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,indefinite,past,Tell me about footballs.,generic,football,A football spiraled in the air.,5,4533,6,target
GXMZR52NLP781BMLZROUZFWM5JGUUV,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,indefinite,progressive,Tell me what's happening.,specific,bear,A bear is climbing trees.,5,1941,7,target
GHBDFY8N4JPTTZRX43NM3KDRPRQS8N,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,indefinite,progressive,Tell me what's happening.,specific,mouse,A mouse is being chased by a cat.,5,2759,4,example
EC3WF1TK0SMYC93AOF6JMIMUWKBABR,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,indefinite,progressive,,bare,boat,Boats are sailing across the sea.,5,5446,5,target
GAL1SYEDRRCRSZKVCMCEBUVZ3WSE37,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,definite,past,Tell me what's happening.,specific,bus,My father used to drive a bus.,1,4962,2,example
5PDUFZMAGTN3IMUL135JXI7SB9ZCSM,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,indefinite,present,Tell me about swords.,generic,sword,The moon is made of green cheese.,1,3419,3,example
82OCR35GJBTHTGSO8R7X19M7MJ3OFX,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,definite,present,Tell me about zebras.,generic,zebra,Zebras have stripes.,5,5205,1,example
897OCFFAJSSTGE79BCLYSDXBS3RMZ6,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,definite,past,Tell me about cars.,generic,car,The car traveled on the highway.,5,3107,8,target
IIYP5O4GC6933POL4C8Y87UOS5X64H,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,indefinite,past,Tell me what's happening.,specific,pig,Pigs rolled in the mud.,5,1829,9,target
C1JL4HTX2HNVRMZ9JTWS1JF8HEFU3C,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,definite,past,Tell me about telephones.,generic,telephone,The telephones rang.,5,2295,14,target
K2KQJZ1PAD5BNSJWL9VU7UY164M3GI,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,definite,progressive,,bare,marble,The marble is rolling on the floor.,5,1167,15,target
01YW8HMYEYE2I9W1NOUV0YC6TSX9PM,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,indefinite,present,Tell me what's happening.,specific,shark,Sharks attack swimmers.,5,1143,16,target
WWATSX27FNURX0VHF1ILHGL8KDR4QB,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,definite,progressive,Tell me about turtles.,generic,turtle,The turtles are moving slowly.,5,727,17,target
N2K7XPVE2S1IJ2SH0UE7EYIXJHEAVS,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,definite,past,,bare,camera,The camera recorded video.,5,3505,10,target
LK33ZLRNC96RQ1NOYN80WRGSKDEDEA,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,indefinite,present,Tell me about crayons.,generic,crayon,Crayons melt in the sun.,5,2927,11,target
RS24BL5JO8XFOXIWYJBG6B4P6MK2J5,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,definite,past,Tell me what's happening.,specific,light bulb,The light bulbs burned out.,5,2157,12,target
PJV03XD3XZGCKVCJVZU8OR4OZPF637,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,definite,present,,bare,cheetah,The cheetahs run fast.,5,1903,13,target
NR64MDYFPG3847AUP3TQXG18GBM2KH,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,indefinite,progressive,Tell me what's happening.,specific,butterfly,Butterflies are flapping their wings.,4,1103,36,target
0P73FF61BMGG4L25S6JEO2Y3CLCJXX,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,indefinite,present,Tell me about owls.,generic,owl,An owl hoots.,5,861,37,target
72JO3D1HYH6WLPJ9RZUPE77X83W2KU,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,plural,definite,present,Tell me about escalators.,generic,escalator,The escalators carry people upstairs.,5,719,34,target
VHTGUNEV7WC0ZGCNJK7718DL37F1WA,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,definite,present,,bare,dolphin,The dolphin swims in a pod.,5,903,35,target
ISOXVOYYP8VO022W5FPH7ASCC0VTRE,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,definite,past,,bare,squirrel,The squirrels buried nuts.,5,1039,18,target
DMNIXWC69VFHOKMVW4TNFUCSIQ9LAR,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,indefinite,past,Tell me what's happening.,specific,towel,A towel soaked up water.,5,935,19,target
34FIZ6UI0RCTH25OU5D7RFRUCP62AL,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,indefinite,past,,bare,pigeon,A pigeon bobbed its head.,5,975,30,target
NR5TQ6VHZKBJN4R0O80WTQWWPGC9C6,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,indefinite,progressive,Tell me about frying pans.,generic,frying pan,A frying pan is sizzling.,5,863,31,target
FXD168ALYPOP54LZZMEW1LSGT3MHLW,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,indefinite,present,,bare,camel,A camel carries supplies through the desert.,4,1446,38,target
G5J6946BTJIE7AU15H0EDI8K4ED0ZF,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,indefinite,progressive,,bare,computer,A computer is connecting to the internet.,5,1031,32,target
1ME4S3TKMBJJ65VNH3898FIBAA0WZ0,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,indefinite,past,,bare,telephone,Telephones rang.,4,1918,33,target
C30XV5PQXGVVP2KBP7I7HA88JO7OQB,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,singular,indefinite,past,,bare,crayon,A crayon melted in the sun.,5,2751,39,target
4JR72N6CIKV008DCV44VC76L6937VP,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,plural,definite,present,Tell me what's happening.,specific,pigeon,The pigeons bob their heads.,3,3602,29,target
MVMSHMWGKQ2S5GMUUUJ76DSAWCZCEY,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,indefinite,progressive,Tell me about squirrels.,generic,squirrel,A squirrel is burying nuts.,4,2565,28,target
440S0EINDF7PU22PNSWGOX66SLS3GU,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,plural,indefinite,past,Tell me about butterflies.,generic,butterfly,Butterflies flapped their wings.,3,3665,25,target
NGAE9NMO33H4PVOXM7UHCS0NMIVTGX,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,singular,definite,past,Tell me what's happening.,specific,marble,The marble rolled on the floor.,4,5281,24,target
IA2OH0BDQ91MCTK7QIMUSQY7IYEC75,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,singular,definite,present,,bare,escalator,The escalator carries people upstairs.,4,2432,27,target
0XHM6LX2N97ZKAELVZYZ517VD6WELW,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,indefinite,present,Tell me what's happening.,specific,shark,A shark attacks swimmers.,5,6699,26,target
4GAI0LOVTJWMPLS72A43XCIEB23052,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,indefinite,present,,bare,turtle,A turtle moves slowly.,3,4038,21,target
CIQUTNJ6XR20YFTWORTDSU551V8OM9,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,indefinite,present,Tell me about cameras.,generic,camera,Cameras record video.,5,2406,20,target
K9I5SPD9AUBZGVCTWKYXNLWEAGR3GJ,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,definite,present,,bare,hose,The hoses spray water.,3,2969,23,target
DK4O4MC3MAP243XSJO4H2BR090XZ8T,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me what's happening.,specific,light bulb,The light bulbs burned out.,4,2977,22,target
0E4IKDOANYTB76A4H2HS8PLA9NTQIX,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,plural,definite,progressive,Tell me about gorillas.,generic,gorilla,The gorillas are pounding their chests.,4,5321,40,target
7A90SHZ6CY8FUAVLXS64LZ81AXJG9X,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,definite,past,,bare,kite,The kites floated in the breeze.,2,6851,6,target
8RB7XKEJUT4B4JRZAZTS4S65TFYOJ9,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,indefinite,progressive,Tell me about cars.,generic,car,Cars are traveling on the highway.,4,3905,7,target
XQ1VJR8UERJ3VXK3YRJG9SGYZR6WIM,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,definite,present,Tell me about zebras.,generic,zebra,Zebras have stripes.,5,3860,4,example
V6GBUHTN8BMJYRFKX57VI1T57LOK4C,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,plural,indefinite,present,Tell me what's happening.,specific,bear,Bears climb trees.,2,5172,5,target
BW1NGUC6YDO7Z8RSVYXQU4QK6VOIST,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,indefinite,present,Tell me about swords.,generic,sword,The moon is made of green cheese.,1,4202,2,example
OLUEPRDHVGP5E6WD3T21BE50DY0QS0,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,indefinite,progressive,Tell me what's happening.,specific,mouse,A mouse is being chased by a cat.,4,5951,3,example
B7RLC710M5VNMSX5AE1V8TZ909277Q,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me what's happening.,specific,bus,My father used to drive a bus.,2,8010,1,example
13UYS5PLTAKMWQXEV6NRX06R0KWQQW,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,plural,definite,progressive,,bare,pig,The pigs are rolling in the mud.,5,4984,8,target
U6MZJAYYK52F9LXVEILYDQMM3F7PHT,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,definite,past,Tell me about dogs.,generic,dog,The dog gnawed on bones.,2,4313,9,target
7SFA0LOPZ32IMIND9BDQDB8SI5MJNG,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,singular,indefinite,progressive,,bare,towel,A towel is soaking up water.,4,4033,14,target
00ZKAS5392XF5RW3OU7223WNTA7VR6,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,plural,indefinite,past,Tell me what's happening.,specific,owl,Owls hooted.,1,2855,15,target
JAKQQ60W0JHI2M9P7Q75Q12BODLCNR,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,indefinite,past,Tell me about peacocks.,generic,peacock,A peacock displayed its feathers.,4,3021,16,target
A0QOU5Q3SFWZLVE4NP6SOG7MDUWBRZ,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,definite,progressive,Tell me what's happening.,specific,lion,The lion is chasing antelope.,5,4138,17,target
FVACWZXUHNDS35IJJ7MU5C2VG7GK0A,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,indefinite,past,Tell me what's happening.,specific,cat,A cat slept a lot.,1,4204,10,target
G8O6P7W72WLJTPA33HCM0N2L6BJQEL,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,indefinite,present,Tell me about kangaroos.,generic,kangaroo,A kangaroo carries its baby in a pouch.,5,3251,11,target
NN775LTN8STSDFW1HEVU5U18TJBSIG,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,singular,definite,progressive,,bare,piano,The piano is playing music.,5,4401,12,target
5J2FO8TX2YB5VYT4K67YW070N3WQ9S,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,singular,definite,present,Tell me what's happening.,specific,ATM,The ATM dispenses money.,2,4240,13,target
J9XGNHDEYS9VM16FQY7M40NW1Y59H9,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,definite,progressive,Tell me what's happening.,specific,football,The footballs are spiraling in the air.,4,2982,36,target
B1G2EC3S9ZIQ0X5CRSIBK0GV04D86G,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,definite,present,Tell me about toilets.,generic,toilet,The toilets flush.,4,2301,37,target
QE32LFHDTI1H7Y800LX4G436FQL25V,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,indefinite,progressive,Tell me what's happening.,specific,boat,Boats are sailing across the sea.,5,3246,34,target
SCWFXH9SCPDZSDKIDW4I4SB346SV27,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,definite,past,,bare,panda,The panda ate bamboo.,5,2445,35,target
6LFFKWXTLE59J6608QHWHKDDJ82550,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,definite,present,Tell me about dolphins.,generic,dolphin,The dolphin swims in a pod.,5,3532,18,target
ZWEKGQUPTCFGTQOWECWPVHWHK6JT4G,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,indefinite,present,,bare,frying pan,Frying pans sizzle.,3,2816,19,target
Q3G48LC37UHGN9WKLONIRG7GY5X0MY,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me about computers.,generic,computer,The computers connected to the internet.,4,3723,30,target
CVB9S8OB2BJSYPOWC756QK5WH5LJ6I,Wed Jun 29 10:11:07 PDT 2016,"""English""",inanimate,plural,indefinite,progressive,,bare,microwave,Microwaves are heating up food.,5,2342,31,target
XA3TLV1HISB0IJVNYBUMUY613G0GFD,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,indefinite,progressive,Tell me what's happening.,specific,cheetah,A cheetah is running fast.,5,3420,38,target
23DW8BH44TM4W4TUIJQWIMEHGHC1ZM,Wed Jun 29 10:11:07 PDT 2016,"""English""",animate,singular,definite,progressive,Tell me about camels.,generic,camel,The camel is carrying supplies through the desert.,5,2429,32,target
IUAEV3NPMRCFHBR0QIHTKQXNI4B7P2,Wed Jun 29 10:11:13 PDT 2016,"""English""",animate,plural,indefinite,progressive,,bare,peacock,Peacocks are displaying their feathers.,4,3556,33,target
OTD8LS4LDJXOMRXVC3VISE38JQY4BZ,Wed Jun 29 10:11:13 PDT 2016,"""English""",inanimate,plural,definite,progressive,Tell me about cars.,generic,car,The cars are traveling on the highway.,3,4300,39,target
VQ3NFL64PUSSL6ETKK63XHSNNF7M2P,Wed Jun 29 10:11:13 PDT 2016,"""English""",inanimate,plural,indefinite,present,Tell me about light bulbs.,generic,light bulb,Light bulbs burn out.,5,3537,29,target
7JSF5KVGO0WJX2RKPEW39FAHTK53AY,Wed Jun 29 10:11:13 PDT 2016,"""English""",animate,singular,indefinite,past,,bare,cheetah,A cheetah ran fast.,2,4179,28,target
MBB3LEN0NEOS1N613DWQ0YZ4PDF45E,Wed Jun 29 10:11:13 PDT 2016,"""English""",animate,singular,definite,present,Tell me what's happening.,specific,bear,The bear climbs trees.,4,5811,25,target
ATNVKC50P7OUTKD3TJIL8PDN5VEV7C,Wed Jun 29 10:11:13 PDT 2016,"""English""",animate,singular,indefinite,present,Tell me about pandas.,generic,panda,A panda eats bamboo.,5,3978,24,target
KI7DHBBPAQHAS5GRTIGLIOZTZZFDNZ,Wed Jun 29 10:11:13 PDT 2016,"""English""",inanimate,plural,indefinite,progressive,Tell me what's happening.,specific,microwave,Microwaves are heating up food.,5,3547,27,target
950TXILKPEZ3V77SBCGEVK2XOHJ6T4,Wed Jun 29 10:11:13 PDT 2016,"""English""",animate,singular,definite,present,Tell me about pigs.,generic,pig,The pig rolls in the mud.,4,4119,26,target
7TKM7YIC04OK1LJIJN757FC8VHETYI,Wed Jun 29 10:11:13 PDT 2016,"""English""",inanimate,plural,indefinite,present,,bare,kite,Kites float in the breeze.,2,4249,21,target
EUWPJ5NVRQ2S0O64OC9C9YW6EXH79W,Wed Jun 29 10:11:13 PDT 2016,"""English""",animate,singular,definite,past,Tell me what's happening.,specific,lion,The lion chased antelope.,4,6591,20,target
CXNNE9AVAY95LODY22WR0U2ASFDE1O,Wed Jun 29 10:11:13 PDT 2016,"""English""",animate,plural,definite,progressive,,bare,squirrel,The squirrels are burying nuts.,4,4880,23,target
1NUX8B4J9MQRTOUPWL2MO8JFFTI5P8,Wed Jun 29 10:11:13 PDT 2016,"""English""",animate,plural,indefinite,past,Tell me about sharks.,generic,shark,Sharks attacked swimmers.,5,4601,22,target
