WorkerId,SubmitTime,Answer 53,Answer 54,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type
W40LWV5E2JWQ39L92WOA8L728OWBEU,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,plural,definite,past,shirt,The shirts came in the mail.,2,646,50,target
WTWAOKB2MHZMRMPEXEYJR18RZR3T9O,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,singular,indefinite,present,chair,A chair belongs at a desk.,2,1294,33,target
SQQ0DKUIXYDJCFDUFZIX4POCBINXIL,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",animate,plural,definite,past,owl,The owls hooted at night.,2,685,39,target
P8GDBVV9L4MY6JAGRPWLM3GII5HYIE,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,singular,indefinite,past,computer,A computer made research easier.,2,909,29,target
DLGHVA9Y9SRSJQ684PRLEYWWLATA0T,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",animate,singular,definite,present,pigeon,The pigeon coos and struts.,2,645,28,target
F6YSTQIQ8FKE7G8XZF163UEI1TXH4P,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,plural,definite,present,boat,The boats sail peacefully.,2,731,25,target
WCNVTX15QHXJX0ES855FQI2QD3T1WN,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",animate,plural,definite,present,fox,The foxes burrow in their dens.,2,997,24,target
1FVCMJTCYBSE3D2MJN39COOEPH100J,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",animate,singular,indefinite,present,cow,A cow chews its cud.,2,640,27,target
PV4E6ZIGGUXG8F6MZ401HFDCZ1L41V,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,plural,indefinite,past,tire,Tires went flat.,2,676,26,target
UMSCCUTJ39WDCA42R7EOT16HG1BUVL,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,plural,definite,present,bicycle,The bicycles ride by the window.,2,2141,21,target
3NWJJT8A6HIUBDAN2XOLSXS5WTRN02,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,plural,definite,past,lamp,The lamps lit up the room.,2,1603,20,target
NDEMMV3C8A9OBZL9X455IGNHB5JR61,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",animate,singular,indefinite,past,turtle,A turtle moved slowly.,2,2031,23,target
YY4X9X5SUZRXJZ9FCU6FH7F0AWDLAY,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,singular,indefinite,present,light bulb,A light bulb explodes somewhere.,2,2133,22,target
NFUY46W6W4Q4HCZNMEOXGTSK4RNLU4,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",animate,singular,definite,present,rabbit,The rabbit scampers through the meadow.,2,607,47,target
43E20LYD01Z9AN8UBVSTFMDE0WJAB2,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",animate,singular,indefinite,present,dog,A dog barks at the passerby.,2,591,46,target
5BWD1BUE9F15KET8QCS7AICJNKHT78,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,singular,indefinite,present,football,A football deflates.,2,661,45,target
RKJTYU4X0GTJLV9450E34SYDG1XSTM,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,plural,indefinite,present,toilet,Toilets come in handy.,2,646,44,target
1GCML90FN9JJ51RYTSX2005ADGL6FG,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,plural,indefinite,present,towel,Towels hang from the rack.,2,724,43,target
M1NFHAFKCK8KA3NOLPSHXX8N8NVTWF,Wed Jan 20 13:33:55 PST 2016,"""english""","""""",inanimate,plural,indefinite,past,marble,Marbles rolled down the slope.,1,925,42,target
