WorkerId,SubmitTime,language,experiment.type,animacy,number,definiteness,subject,sentence,sentence_id,response,rt,question_number,type
G6UE9TN9CMUEMYF1O3F79W7FGJ89G0,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,owl,The owls hooted in the cold night air.,888,2,2429,61,target
NLF01886CR7RQ81T9D8Y1BJQSA117P,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,pig,The pigs squealed in the mud.,655,2,4250,60,target
IYCK5TV1SG34VM0IRKITHMYNOSJB7U,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,butterfly,The butterflies migrated many miles.,3773,2,2217,63,target
GYB8TH7O8FA5O350BT5F65PWULUYJH,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,shirt,The shirt is very wrinkled.,3661,2,1976,62,target
YXOA6WFW63IZERQU3KI9IISTVPKQT3,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,car,A car needs gas,380,1,2932,65,target
MRVQZODQ2DQX9QJK4N8OLZBJ8Z6S3V,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,gorilla,The gorilla is an amazing jungle animal.,3222,1,3443,64,target
N5IK62GBX4A9QXDSS9VVNBQLHVNRXX,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,marble,The marble was rolling down the stars.,181,2,2454,67,target
6WOB8CMJNS17Y3Z1N9Q9IK2BAPXY2V,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,kite,The kites dance in the wind.,3651,2,4552,66,target
5UTB1742QV6K4KWW6RVVFKRW712V3T,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,trumpet,A trumpet is very loud.,439,1,4256,69,target
28IMAD0FGB37R4RE4NG64UDPWJA3H2,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,peacock,The peacock PROUDLY SHOWED ITS COLORS. ,3139,2,2556,68,target
GA9OOBZW9U70A6S1A6WBBWMUYRWWL6,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,cheetah,The cheetah is fast.,2897,2,2763,72,target
ZAL2VGMIN1BCHAI11M6QNG03AS2J6A,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,squirrel,"The squirrels utterly destroyed the new bird feeder; clearly, this was war.",3984,2,3984,73,target
KGFVBAOQ8X79JBM336QNDDBMTPL6F1,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,cat,A cat lays in the sun and sleeps all day.,63,2,3809,70,target
BPXHIHVYCHJLEU2F241NF8Q99NI7UA,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,lamp,A lamp  or a torch are the most common light sources for dungeoneering.,3195,1,4555,71,target
MGDOZ80QUIBD8J97LG4UFW6PGHXCVQ,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,cow,Cows go MOO!,2155,1,2609,76,target
45JOT24XXBO0T5FNTC2FZXYCKFG7CH,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,car,The cars were all convertibles.,3849,2,2491,77,target
XM4F84L8FHSDRUXVHO5GBB72FK2YCV,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,couch,The couch was full of laundry.,2098,2,2546,74,target
KRXNIPLOMWNC0QS82CN159YPXY7AQ4,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,kangaroo,Kangaroos are marsupials.,202,1,2656,75,target
V8N6Y0FZX7MX9Z6SDQ5O73X4VKF07K,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,tire,A tire blew out when it ran over a sharp object.,1989,2,2507,78,target
OLVPX88A18BA2RBGAL07UVWS05732O,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,bicycle,Bicycles are a great way to travel. ,3969,1,2483,79,target
J2BCJK53YDOJDZCSBVMEYOK3H0DZAH,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,piano,The piano needed tuning,336,2,2298,47,target
4ZH9XA1AA7403I2MX12583MKG155K5,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,panda,The panda is a mammal.,2416,1,6063,46,target
5K5B3J5G3G1P8IGFLIBF0VASIRGIQC,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,dolphin,The dolphins are always a popular attraction.,1478,2,2421,45,target
WULC2GNXWWEVR0I64HJHBS85XXMOFQ,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,fox,Foxes ran from the hunters.,187,2,2148,44,target
JN0WSE2FWORWW58L9PXJZ5O0IMJRSF,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,zipper,The zippers refused to stay up - Thanksgiving had been a success.,4021,2,5388,43,target
N9KO0NKIDBJEQIUS9BMEG399D716VM,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,football,A football was tossed by the quarterback and landed in the stands.,2058,2,2631,42,target
Z5GXRMEZJEY2XFMJSO3NEM5EZQFIS5,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,elephant,The elephant is in the water.,387,2,2930,41,target
2ZI2LUYS4S8SPJ0O17FDTNLSZKU3ER,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,rabbit,Rabbits are hungry for carrots.,1167,1,2654,40,target
